2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@5e77f0f4
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@19b30c92
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@455351c4
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration date -> org.hibernate.type.BasicTypeReference@29876704
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@29876704
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration time -> org.hibernate.type.BasicTypeReference@4816c290
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@4816c290
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@4940809c
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@4940809c
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@4940809c
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration calendar -> org.hibernate.type.BasicTypeReference@16423501
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@16423501
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@16423501
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@4efcf8a
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@7a138fc5
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration instant -> org.hibernate.type.BasicTypeReference@379ab47b
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@379ab47b
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration uuid -> org.hibernate.type.BasicTypeReference@307765b4
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@307765b4
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@307765b4
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@4a9e6faf
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@2c95ac9e
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration class -> org.hibernate.type.BasicTypeReference@4e4efc1b
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@4e4efc1b
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration currency -> org.hibernate.type.BasicTypeReference@459f7aa3
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration Currency -> org.hibernate.type.BasicTypeReference@459f7aa3
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@459f7aa3
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration locale -> org.hibernate.type.BasicTypeReference@7cc586a8
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@7cc586a8
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration serializable -> org.hibernate.type.BasicTypeReference@7db534f2
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@7db534f2
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration timezone -> org.hibernate.type.BasicTypeReference@44a2b17b
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@44a2b17b
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@7a56812e
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@7a56812e
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration url -> org.hibernate.type.BasicTypeReference@2a76b80a
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@2a76b80a
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration vector -> org.hibernate.type.BasicTypeReference@7eb01b12
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration float_vector -> org.hibernate.type.BasicTypeReference@2f4854d6
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration double_vector -> org.hibernate.type.BasicTypeReference@61d9efe0
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration byte_vector -> org.hibernate.type.BasicTypeReference@7e70bd39
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration row_version -> org.hibernate.type.BasicTypeReference@e6516e
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:398 - Adding type registration object -> org.hibernate.type.JavaObjectType@59a67c3a
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:398 - Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@59a67c3a
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:398 - Adding type registration null -> org.hibernate.type.NullType@544630b7
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@64f857e7
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@1095f122
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@58c540cf
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@3d6300e8
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@1b822fcc
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@24a1c17f
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@56102e1c
2026-03-25 12:49:26 DEBUG BasicTypeRegistry:423 - Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@73511076
2026-03-25 12:49:26 WARN  pooling:84 - HHH10001002: Using built-in connection pool (not intended for production use)
2026-03-25 12:49:26 DEBUG pooling:383 - Initializing Connection pool with 1 Connections
2026-03-25 12:49:26 DEBUG JdbcEnvironmentInitiator:432 - Database ->
	   name : MySQL
	version : 8.0.42
	  major : 8
	  minor : 0
2026-03-25 12:49:26 DEBUG JdbcEnvironmentInitiator:443 - Driver ->
	   name : MySQL Connector/J
	version : mysql-connector-java-8.0.18 (Revision: fef2894d751d47223192b706977b4a5bc41e6be4)
	  major : 8
	  minor : 0
2026-03-25 12:49:26 DEBUG JdbcEnvironmentInitiator:388 - JDBC version : 4.2
